2025.03.18 火曜日
19:00 ️💙 スタンプ
19:01 ️💙 スタンプ
19:04 ️💙 スタンプ
19:04 ️💙 スタンプ
2025.03.19 水曜日
03:52 ️💙 音声
03:53 ️💙 ごめんね
03:53 ️💙 はみがきして
03:53 ️💙 おふろして
03:53 ️💙 ねるっていってるたぶんお
03:53 ️💙 あ
03:53 ️💙 ありがと
03:55 ️💙 明日お金返すねーこめん(˶т  ̫ т
03:55 ️💙 髪の毛までしっかり洗おうといつきもち
03:55 ️💙 ドイツ
04:17 ️💙 うける
04:17 ️💙 きまずいかも
04:17 ️💙 いつもの手順でおふろはいれちゃっ
04:17 ️💙 た
04:17 ️💙 すごあかも
04:17 ️💙 でもいまちなつてざぁ
04:18 ️💙 酔い回ってきたかんじせるわ
04:18 ️💙 あよかったー
04:18 ️💙 ！
04:19 ️💙 ふあすわする
04:19 ️💙 でもよってない
04:19 ️💙 足開いてたったら立てる
04:20 ️💙 ふらふらしない
04:21 ️💙 もち
04:21 ️💙 椅子座った
04:21 ️💙 でんわかけはたおこる？
04:21 ️💙 うん
04:26 ️💙 かみかわかす
04:36 ️💙 かわた
07:34 ️💙 2:57:40
08:52 ️💙 飲みすぎて吐かなかったの初めてで気持ち悪い
08:52 ️💙 これが二日酔い？
09:01 ️💙 画像
09:01 ️💙 すきては言ってくれないけどт  ̫ т
09:37 ️💙 キャラメルポップコーン食べる時に
09:38 ️💙 あさちゃんが濃いとこばっか食べてるから分かるんだって
09:38 ️💙 きょうなにもたべれるきせん
11:03 ️💙 そうやばい
11:03 ️💙 てかキレートも買ってくれたん？今気づいたWWW
11:03 ️💙 ありがとー🎶
11:51 ️💙 ぎりぎりおきてる
11:51 ️💙 ねむい
11:59 ️💙 スタンプ
12:00 ️💙 わたしもまたみよかな
14:04 ️💙 今見てるの終わったら見る
15:16 ️💙 そうだよーん
15:55 ️💙 えーまじか
15:56 ️💙 三浪やばい
15:56 ️💙 はじめてみた
16:12 ️💙 4時間しか寝てないからめちゃくちゃ眠い
16:12 ️💙 絶対早く帰る
16:12 ️💙 気持ち悪くて一滴も飲めないと思う
16:12 ️💙 バスで行ってるからしにかけ
18:45 ️💙 いまライブ見てる
19:05 ️💙 手馴れてる
19:28 ️💙 うん
19:28 ️💙 てかかっこいいわ
20:20 ️💙 うん
20:20 ️💙 めちゃくちゃ酔ってるかも
20:20 ️💙 でもここで流されたら次ないとと思う
21:33 ️💙 不在着信
21:35 ️💙 01:15
21:50 ️💙 これさあ
21:50 ️💙 迎えに来てって言ったら
21:50 ️💙 迎えに来てくれるやつ？
21:50 ️💙 今町のカラオケい
21:50 ️💙 る
21:50 ️💙 結構酔ってる
21:50 ️💙 昨日のもあってめんどくさいておもてるよね？
22:35 ️💙 やばー
22:35 ️💙 ちょづと酔い冷めた
22:35 ️💙 このまま付き合っていいと思う？
22:35 ️💙 わたしダメだと思う
22:35 ️💙 助けに来て
22:36 ️💙 どうする
